This file was created by CMPT_IND_RETS using the 202411 CRSP database.
It contains value- and equal-weighted returns for 48 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
202401,  -4.53,  -1.54,  -0.72,  -0.82,  -2.51,  -5.63,   7.93,  -0.41,   3.77,  -5.16,  -0.09,   4.10,   3.75,  -5.22,   0.10,  -2.54,  -0.06,  -2.79,   0.90, -12.07,  -0.20,  -9.07, -18.90,  -2.37,   1.04,  -5.02, -16.77,  -3.73,   7.32,  -0.21,  -3.00,   4.54,  -3.49,   3.55,   4.22,   2.50,  -0.06,  -6.32,  -1.20,  -1.52,   2.94,   1.35,   0.62,   1.56,   1.72,  -5.08,  -2.06,   4.53
202402,  16.16,  -0.92,   4.32,   0.10,   0.00,   3.69,   6.45,   1.49,   3.00,   5.98,   2.91,   2.77,   5.47,   3.53,   3.51,  12.11,  10.07,  10.83,   4.87,  16.86,   8.63,   8.19,   7.21,   1.98,   8.93,   3.84,  -8.80,   3.67,  -7.20,   3.10,   2.43,  -2.72,   3.48,   4.50,   5.61,   8.20,   7.95,   2.27,   5.63,   7.27,   5.72,  10.84,   5.46,   4.04,   2.02,   4.67,   4.77,   7.10
202403,   7.80,   3.90,   1.99,   4.61,   5.16,   2.15,   0.94,  -0.45,   3.11,  -6.27,   5.84,   3.74,   1.28,   5.64,   7.70,   7.23,   5.94,   9.32,   5.49,  14.96,   5.86,   5.01,  -6.63,   3.21,   2.53,   5.35,  18.78,  17.74,  -4.22,  10.43,   7.03,   3.08,   4.94,   1.93,   5.23,   2.86,   2.04,   8.87,   6.17,   1.08,   4.41,   2.71,   0.88,   5.38,   4.02,   2.83,   4.68,   4.18
202404,  -5.82,   0.65,  -1.87,  -1.97,   2.46,  -3.21,  -9.52,  -5.85,  -1.58,  -6.39,  -7.75,  -5.66,  -5.72,  -7.23,  -8.41, -12.15,  -6.67,  -7.43,  -9.28, -10.47,  -5.70,  -7.61,  -0.23,  -1.53,   3.87,   1.59,  12.34,   3.28,  -0.82,  -0.63,   1.57,  -6.51,  -5.37,  -5.18,  -5.57,  -3.28,  -3.96,   2.35,  -3.05,  -7.95,  -5.92,  -5.07,  -2.32,  -3.90,  -4.08, -11.39,  -4.55,  -2.37
202405,   4.27,  -1.44,   2.03,  -1.80,   6.42,   0.61,   9.75,  12.99,   0.20,   4.91,   1.69,   0.58,   4.27,   4.76,   3.40,   6.71,   0.74,   5.85,   4.44,   7.70,   1.88,   4.86,  -0.86,   7.65,   2.97,  -0.51,   6.35,   2.36,   7.34,  -0.66,   8.01,   3.74,   1.61,   3.09,   5.77,  15.50,   2.64,   4.47,   3.94,   0.36,   0.15,   3.66,  -3.49,   2.95,   3.68,   4.71,   4.72,   3.92
202406,  -3.13,  -3.68,  -0.15,  -3.05,   1.03,  -3.65,   4.35,   1.16,  -0.12, -12.45,  -2.36,   1.56,   3.93,  -5.17,  -4.33,  -6.19,  -5.58,  -5.05,  -5.77,  -6.74,   2.19,  -4.49,   6.97,  -3.51,  -5.83,   0.76,  -2.23,  -7.28,  -9.23,  -2.01,  -4.23,  -0.60,   1.86,   6.97,   5.24,   8.96,  -0.64,   0.55,  -8.36,   3.00,  -2.84,   5.09,   0.60,  -0.62,  -0.24,  -0.87,   0.46,  -1.29
202407,   5.11,   4.06,   3.57,   3.04,  11.69,   8.51,  -3.96,   3.15,  -1.07,  -2.36,   8.32,  -2.55,   1.23,   6.65,   2.67,  31.61,  12.73,  15.89,   6.66,   4.85,  -0.14,   7.63,  11.98,   8.67,   5.42,  13.35,  17.08,   1.43,   2.64,   1.99,   6.36,   3.84,   7.37,  -2.66,  -0.04,  -0.37,   7.32,   1.73,  11.79,   0.20,   6.44,  -0.13,  -2.66,   7.46,   8.44,  19.38,   6.73,   5.90
202408,   2.32,   5.09,   5.38,   0.88,   7.96,  -1.92,   5.98,   1.69,   6.30,   5.78,   4.56,   7.56,   6.28,   1.45,  -0.50,  -1.70,  -0.12,   1.36,  -6.85, -13.86,  -0.78,  -3.30,  -5.38,   1.38,   3.37,   7.14,   7.55,  -5.49,  -7.05,  -2.93,   4.55,   1.21,   3.73,   1.64,  -0.13,   1.86,  -0.87,   4.35,   1.24,   2.45,  -1.21,   0.75,   5.47,   2.20,   4.33,   0.56,   0.98,   6.27
202409,   2.76,   0.95,   0.77,   1.32,  -1.31,   3.37,   4.29,  -2.33,   1.05,   5.76,   2.61,   0.83,  -3.10,   3.79,  -0.62,   1.63,   5.91,   5.17,   1.84,   1.99,   5.69,   1.26,  14.80,  -1.85,   3.78,   5.32,   1.91,   9.72,   4.51,  -3.36,   5.35,   5.63,   3.37,   3.54,   4.28,   2.16,   1.32,  -0.83,   3.27,   2.50,  -0.72,   4.09,   5.43,  -2.00,  -1.02,   5.99,   2.61,  -1.35
202410,   4.39,  -4.28,  -7.69,  -5.15,   8.46,   0.29,   4.02,   0.61,  -5.81,  -6.12,  -7.77,  -1.11,  -3.27,  -3.74,  -0.58, -17.13,  -1.80,  -5.13,  -1.52,  -1.60,  -3.54,  -0.25,  -3.13,  -1.75,  -3.36,  -3.77, -13.12,  -0.80,  -0.73,  -0.46,   0.71,   2.36,  -0.20,  -0.40,   0.71,   0.93,  -8.94,  -3.57,  -3.61,   1.37,  -1.58,  -0.96,  -0.64,   5.12,  -4.31,   0.69,   6.53,  -2.65
202411,   3.02,   0.63,   0.28,  -0.40,   2.15,   4.00,  14.15,   5.40,   7.01,   7.85,   1.39,   5.80,  -2.93,   2.40,   3.44,  10.71,  10.36,   9.12,  10.48,  40.08,   6.75,  10.81,  31.24,   3.17,   7.20,  12.83,  -7.68,  -0.75,  11.22,   6.50,   6.18,   9.18,   9.23,   6.67,   6.31,   3.37,   2.41,   4.36,   6.22,   8.43,  11.84,  10.25,   6.25,  13.21,   8.33,   7.82,  14.13,   7.44
